,loss_of_supply,soc,battery_kwh,solar_generation_kw,load_demand_kw,pv_to_load_kw,pv_to_battery_kw,battery_to_load_kw,grid_to_load_kw,unmet_load_kw,can_charge,Grid,PCC_Breaker,Islanding_Controller,PV_Array,PV_Inverter,Battery_Pack,BMS,PCS
08.01.2026 09:00,0,0,0,0.176215276,2.897321274,0.176215276,0,0,2.721105998,0,0,1,1,1,1,1,1,1,1
08.01.2026 10:00,0,0,0,0.158016032,3.386680767,0.158016032,0,0,3.228664735,0,0,1,1,1,1,1,1,1,1
08.01.2026 11:00,0,0,0,0.105576951,3.643175891,0.105576951,0,0,3.53759894,0,0,1,1,1,1,1,1,1,1
08.01.2026 12:00,0,0,0,0.211658494,3.590256643,0.211658494,0,0,3.378598149,0,0,1,1,1,1,1,1,1,1
08.01.2026 13:00,0,0,0,0.25267113,3.699190012,0.25267113,0,0,3.446518881,0,0,1,1,1,1,1,1,1,1
08.01.2026 14:00,0,0,0,0.148346715,3.587790166,0.148346715,0,0,3.439443451,0,0,1,1,1,1,1,1,1,1
08.01.2026 15:00,0,0,0,0.086414805,2.991844323,0.086414805,0,0,2.905429518,0,0,1,1,1,1,1,1,1,1
08.01.2026 16:00,0,0,0,0.113491222,2.868820373,0.113491222,0,0,2.755329152,0,0,1,1,1,1,1,1,1,1
08.01.2026 17:00,0,0,0,0.146805685,3.023486481,0.146805685,0,0,2.876680796,0,0,1,1,1,1,1,1,1,1
08.01.2026 18:00,0,0,0,0.054139735,2.001085133,0.054139735,0,0,1.946945397,0,0,1,1,1,1,1,1,1,1
08.01.2026 19:00,0,0,0,0,1.958003415,0,0,0,1.958003415,0,0,1,1,1,1,1,1,1,1
08.01.2026 20:00,0,0,0,0,1.579772298,0,0,0,1.579772298,0,0,1,1,1,1,1,1,1,1
08.01.2026 21:00,0,0,0,0,1.583897628,0,0,0,1.583897628,0,0,1,1,1,1,1,1,1,1
08.01.2026 22:00,0,0,0,0,1.127811797,0,0,0,1.127811797,0,0,1,1,1,1,1,1,1,1
08.01.2026 23:00,0,0,0,0,1.159902741,0,0,0,1.159902741,0,0,1,1,1,1,1,1,1,1
09.01.2026 00:00,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1
09.01.2026 01:00,0,0,0,0,1.172793486,0,0,0,1.172793486,0,0,1,1,1,1,1,1,1,1
09.01.2026 02:00,0,0,0,0,1.35220762,0,0,0,1.35220762,0,0,1,1,1,1,1,1,1,1
09.01.2026 03:00,0,0,0,0,1.199573984,0,0,0,1.199573984,0,0,1,1,1,1,1,1,1,1
09.01.2026 04:00,0,0,0,0,1.63653119,0,0,0,1.63653119,0,0,1,1,1,1,1,1,1,1
09.01.2026 05:00,0,0,0,0,2.0157846,0,0,0,2.0157846,0,0,1,1,1,1,1,1,1,1
09.01.2026 06:00,0,0,0,0.083476518,2.620151507,0.083476518,0,0,2.536674989,0,0,1,1,1,1,1,1,1,1
09.01.2026 07:00,0,0,0,0.040775463,2.819566372,0.040775463,0,0,2.778790909,0,0,1,1,1,1,1,1,1,1
09.01.2026 08:00,0,0,0,0.225272097,3.023788912,0.225272097,0,0,2.798516815,0,0,1,1,1,1,1,1,1,1
09.01.2026 09:00,0,0,0,0.257085441,3.261499383,0.257085441,0,0,3.004413942,0,0,1,1,1,1,1,1,1,1
09.01.2026 10:00,0,0,0,0.235146346,3.366435853,0.235146346,0,0,3.131289507,0,0,1,1,1,1,1,1,1,1
09.01.2026 11:00,0,0,0,0.268997292,3.418992633,0.268997292,0,0,3.149995341,0,0,1,1,1,1,1,1,1,1
09.01.2026 12:00,0,0,0,0.180053665,3.948477046,0.180053665,0,0,3.768423381,0,0,1,1,1,1,1,1,1,1
09.01.2026 13:00,0,0,0,0.261951939,3.319999975,0.261951939,0,0,3.058048036,0,0,1,1,1,1,1,1,1,1
09.01.2026 14:00,0,0,0,0.13564093,3.53815843,0.13564093,0,0,3.4025175,0,0,1,1,1,1,1,1,1,1
09.01.2026 15:00,0,0,0,0.094188892,2.959208636,0.094188892,0,0,2.865019744,0,0,1,1,1,1,1,1,1,1
09.01.2026 16:00,0,0,0,0.122304004,2.940800755,0.122304004,0,0,2.818496751,0,0,1,1,1,1,1,1,1,1
09.01.2026 17:00,0,0,0,0.071083964,2.621800276,0.071083964,0,0,2.550716312,0,0,1,1,1,1,1,1,1,1
09.01.2026 18:00,0,0,0,0.073498681,2.50040862,0.073498681,0,0,2.426909939,0,0,1,1,1,1,1,1,1,1
09.01.2026 19:00,0,0,0,0,2.051349476,0,0,0,2.051349476,0,0,1,1,1,1,1,1,1,1
09.01.2026 20:00,0,0,0,0,1.76097111,0,0,0,1.76097111,0,0,1,1,1,1,1,1,1,1
09.01.2026 21:00,0,0,0,0,1.175526763,0,0,0,1.175526763,0,0,1,1,1,1,1,1,1,1
09.01.2026 22:00,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1
09.01.2026 23:00,0,0,0,0,1.288965528,0,0,0,1.288965528,0,0,1,1,1,1,1,1,1,1
10.01.2026 00:00,0,0,0,0,1.182972638,0,0,0,1.182972638,0,0,1,1,1,1,1,1,1,1
10.01.2026 01:00,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1
10.01.2026 02:00,0,0,0,0,1.546858575,0,0,0,1.546858575,0,0,1,1,1,1,1,1,1,1
10.01.2026 03:00,0,0,0,0,1.235205325,0,0,0,1.235205325,0,0,1,1,1,1,1,1,1,1
10.01.2026 04:00,0,0,0,0,1.439763788,0,0,0,1.439763788,0,0,1,1,1,1,1,1,1,1
10.01.2026 05:00,0,0,0,0,1.966284409,0,0,0,1.966284409,0,0,1,1,1,1,1,1,1,1
10.01.2026 06:00,0,0,0,0.086411897,2.02951508,0.086411897,0,0,1.943103183,0,0,1,1,1,1,1,1,1,1
10.01.2026 07:00,0,0,0,0.092267336,2.423106473,0.092267336,0,0,2.330839137,0,0,1,1,1,1,1,1,1,1
10.01.2026 08:00,0,0,0,0.104941425,2.917775266,0.104941425,0,0,2.812833842,0,0,1,1,1,1,1,1,1,1
10.01.2026 09:00,0,0,0,0.098576476,2.917387374,0.098576476,0,0,2.818810898,0,0,1,1,1,1,1,1,1,1
